start_time,end_time,target_price,settled_as
2024-07-23T14:25:00+0530,2024-07-23T14:35:00+0530,66888.0,Yes
2024-07-23T14:30:00+0530,2024-07-23T14:40:00+0530,66888.0,No
2024-07-23T14:35:00+0530,2024-07-23T14:45:00+0530,66914.47,No
2024-07-23T14:40:00+0530,2024-07-23T14:50:00+0530,66858.0,Yes
2024-07-23T14:45:00+0530,2024-07-23T14:55:00+0530,66814.01,Yes
2024-07-23T14:50:00+0530,2024-07-23T15:00:00+0530,66913.09,Yes
2024-07-23T14:55:00+0530,2024-07-23T15:05:00+0530,66935.99,Yes
2024-07-23T15:00:00+0530,2024-07-23T15:10:00+0530,66992.0,Yes
2024-07-23T15:05:00+0530,2024-07-23T15:15:00+0530,67149.29,No
2024-07-23T15:10:00+0530,2024-07-23T15:20:00+0530,67131.99,No
2024-07-23T15:15:00+0530,2024-07-23T15:25:00+0530,67072.68,No
2024-07-23T15:20:00+0530,2024-07-23T15:30:00+0530,67036.74,No
2024-07-23T15:25:00+0530,2024-07-23T15:35:00+0530,67012.14,No
2024-07-23T15:30:00+0530,2024-07-23T15:40:00+0530,66938.19,Yes
2024-07-23T15:35:00+0530,2024-07-23T15:45:00+0530,66864.06,Yes
2024-07-23T15:40:00+0530,2024-07-23T15:50:00+0530,66950.01,Yes
2024-07-23T15:45:00+0530,2024-07-23T15:55:00+0530,66908.01,No
2024-07-23T15:50:00+0530,2024-07-23T16:00:00+0530,66955.99,Yes
2024-07-23T15:55:00+0530,2024-07-23T16:05:00+0530,66898.0,Yes
2024-07-23T16:00:00+0530,2024-07-23T16:10:00+0530,67002.01,No
2024-07-23T16:05:00+0530,2024-07-23T16:15:00+0530,66984.27,Yes
2024-07-23T16:10:00+0530,2024-07-23T16:20:00+0530,66982.62,No
2024-07-23T16:15:00+0530,2024-07-23T16:25:00+0530,67006.0,No
2024-07-23T16:20:00+0530,2024-07-23T16:30:00+0530,66881.87,No
2024-07-23T16:25:00+0530,2024-07-23T16:35:00+0530,66903.99,No
2024-07-23T16:30:00+0530,2024-07-23T16:40:00+0530,66870.0,No
2024-07-23T16:35:00+0530,2024-07-23T16:45:00+0530,66662.67,No
2024-07-23T16:40:00+0530,2024-07-23T16:50:00+0530,66690.01,No
2024-07-23T16:45:00+0530,2024-07-23T16:55:00+0530,66615.99,No
2024-07-23T16:50:00+0530,2024-07-23T17:00:00+0530,66642.01,No
2024-07-23T16:55:00+0530,2024-07-23T17:05:00+0530,66486.1,Yes
2024-07-23T17:00:00+0530,2024-07-23T17:10:00+0530,66574.01,Yes
2024-07-23T17:05:00+0530,2024-07-23T17:15:00+0530,66700.0,No
2024-07-23T17:10:00+0530,2024-07-23T17:20:00+0530,66682.01,Yes
2024-07-23T17:15:00+0530,2024-07-23T17:25:00+0530,66666.01,Yes
