start_time,end_time,target_price,settled_as
2024-08-03T02:40:00+0530,2024-08-03T02:50:00+0530,62389.98,No
2024-08-03T02:45:00+0530,2024-08-03T02:55:00+0530,61908.14,Yes
2024-08-03T02:50:00+0530,2024-08-03T03:00:00+0530,61929.98,No
2024-08-03T02:55:00+0530,2024-08-03T03:05:00+0530,61918.0,No
2024-08-03T03:00:00+0530,2024-08-03T03:10:00+0530,61660.87,Yes
2024-08-03T03:05:00+0530,2024-08-03T03:15:00+0530,61854.67,Yes
2024-08-03T03:10:00+0530,2024-08-03T03:20:00+0530,61976.52,Yes
2024-08-03T03:15:00+0530,2024-08-03T03:25:00+0530,62065.86,Yes
2024-08-03T03:20:00+0530,2024-08-03T03:30:00+0530,62107.44,No
2024-08-03T16:25:00+0530,2024-08-03T16:35:00+0530,61828.49,No
2024-08-03T16:55:00+0530,2024-08-03T17:05:00+0530,61919.84,No
2024-08-03T17:00:00+0530,2024-08-03T17:10:00+0530,61876.0,Yes
2024-08-03T17:05:00+0530,2024-08-03T17:15:00+0530,61909.99,Yes
2024-08-03T17:10:00+0530,2024-08-03T17:20:00+0530,61910.0,Yes
2024-08-03T17:15:00+0530,2024-08-03T17:25:00+0530,61934.02,No
2024-08-03T17:25:00+0530,2024-08-03T17:35:00+0530,61927.43,No
2024-08-03T17:30:00+0530,2024-08-03T17:40:00+0530,61919.38,Yes
2024-08-03T17:35:00+0530,2024-08-03T17:45:00+0530,61900.0,Yes
2024-08-03T17:40:00+0530,2024-08-03T17:50:00+0530,61934.0,Yes
2024-08-03T17:45:00+0530,2024-08-03T17:55:00+0530,61985.92,Yes
2024-08-03T17:50:00+0530,2024-08-03T18:00:00+0530,62002.0,Yes
2024-08-03T17:55:00+0530,2024-08-03T18:05:00+0530,62079.44,Yes
2024-08-03T18:00:00+0530,2024-08-03T18:10:00+0530,62126.0,Yes
2024-08-03T18:05:00+0530,2024-08-03T18:15:00+0530,62095.05,Yes
2024-08-03T18:10:00+0530,2024-08-03T18:20:00+0530,62188.01,No
