start_time,end_time,target_views,settled_as,video_name
2024-07-11T23:40:00+0530,2024-07-12T00:00:00+0530,19.09M,Yes,Round2Hell - EPL Season 3
2024-07-11T23:50:00+0530,2024-07-12T00:10:00+0530,45.44M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T23:50:00+0530,2024-07-12T00:10:00+0530,45.45M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T23:50:00+0530,2024-07-12T00:00:00+0530,3.73M,Yes,Sourav Joshi - Kunali Ka New Laptop
2024-07-11T23:50:00+0530,2024-07-12T00:10:00+0530,45.47M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T23:50:00+0530,2024-07-12T00:00:00+0530,19.11M,Yes,Round2Hell - EPL Season 3
2024-07-11T23:55:00+0530,2024-07-12T00:10:00+0530,45.50M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T00:00:00+0530,2024-07-12T01:00:00+0530,86.72M,No,MrBeast - I Built 100 Homes
2024-07-12T00:00:00+0530,2024-07-12T00:20:00+0530,19.29M,Yes,Round2Hell - EPL Season 3
2024-07-12T00:00:00+0530,2024-07-12T00:20:00+0530,19.40M,No,Round2Hell - EPL Season 3
2024-07-12T00:10:00+0530,2024-07-12T00:30:00+0530,45.55M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T00:20:00+0530,2024-07-12T00:40:00+0530,19.43M,Yes,Round2Hell - EPL Season 3
2024-07-12T00:20:00+0530,2024-07-12T00:30:00+0530,45.59M,No,Kendrick Lamar - Not Like Us
2024-07-12T00:20:00+0530,2024-07-12T00:40:00+0530,19.52M,No,Round2Hell - EPL Season 3
2024-07-12T00:30:00+0530,2024-07-12T00:50:00+0530,45.63M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T00:30:00+0530,2024-07-12T00:40:00+0530,19.51M,No,Round2Hell - EPL Season 3
2024-07-12T00:40:00+0530,2024-07-12T01:00:00+0530,19.61M,Yes,Round2Hell - EPL Season 3
2024-07-12T00:40:00+0530,2024-07-12T01:00:00+0530,19.63M,Yes,Round2Hell - EPL Season 3
2024-07-12T00:50:00+0530,2024-07-12T01:10:00+0530,45.71M,No,Kendrick Lamar - Not Like Us
2024-07-12T00:50:00+0530,2024-07-12T01:00:00+0530,19.66M,No,Round2Hell - EPL Season 3
2024-07-12T00:55:00+0530,2024-07-12T01:55:00+0530,86.74M,Yes,MrBeast - I Built 100 Homes
2024-07-12T00:55:00+0530,2024-07-12T01:15:00+0530,19.76M,No,Round2Hell - EPL Season 3
2024-07-12T01:00:00+0530,2024-07-12T01:20:00+0530,19.70M,Yes,Round2Hell - EPL Season 3
2024-07-12T01:10:00+0530,2024-07-12T01:30:00+0530,45.70M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T01:15:00+0530,2024-07-12T01:30:00+0530,45.75M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T01:15:00+0530,2024-07-12T01:35:00+0530,19.81M,No,Round2Hell - EPL Season 3
2024-07-12T01:20:00+0530,2024-07-12T01:55:00+0530,86.83M,No,MrBeast - I Built 100 Homes
2024-07-12T01:25:00+0530,2024-07-12T01:45:00+0530,19.88M,No,Round2Hell - EPL Season 3
2024-07-12T01:25:00+0530,2024-07-12T01:45:00+0530,45.83M,No,Kendrick Lamar - Not Like Us
